#index	label	wavelength	comment
60	S 16c                     0 		# net cooling due to iso-seq species
61	S 16h                     0 		# heating due to iso-seq species
62	Cl17c                     0 		# net cooling due to iso-seq species
63	Cl17h                     0 		# heating due to iso-seq species
64	Ar18c                     0 		# net cooling due to iso-seq species
65	Ar18h                     0 		# heating due to iso-seq species
66	K 19c                     0 		# net cooling due to iso-seq species
67	K 19h                     0 		# heating due to iso-seq species
68	Ca20c                     0 		# net cooling due to iso-seq species
69	Ca20h                     0 		# heating due to iso-seq species
70	Sc21c                     0 		# net cooling due to iso-seq species
71	Sc21h                     0 		# heating due to iso-seq species
72	Ti22c                     0 		# net cooling due to iso-seq species
73	Ti22h                     0 		# heating due to iso-seq species
74	V 23c                     0 		# net cooling due to iso-seq species
75	V 23h                     0 		# heating due to iso-seq species
76	Cr24c                     0 		# net cooling due to iso-seq species
77	Cr24h                     0 		# heating due to iso-seq species
78	Mn25c                     0 		# net cooling due to iso-seq species
79	Mn25h                     0 		# heating due to iso-seq species
80	Fe26c                     0 		# net cooling due to iso-seq species
81	Fe26h                     0 		# heating due to iso-seq species
82	Co27c                     0 		# net cooling due to iso-seq species
83	Co27h                     0 		# heating due to iso-seq species
84	Ni28c                     0 		# net cooling due to iso-seq species
85	Ni28h                     0 		# heating due to iso-seq species
86	Cu29c                     0 		# net cooling due to iso-seq species
87	Cu29h                     0 		# heating due to iso-seq species
88	Zn30c                     0 		# net cooling due to iso-seq species
89	Zn30h                     0 		# heating due to iso-seq species
90	He 1c                     0 		# net cooling due to iso-seq species
91	He 1h                     0 		# heating due to iso-seq species
92	Li 2c                     0 		# net cooling due to iso-seq species
93	Li 2h                     0 		# heating due to iso-seq species
94	Be 3c                     0 		# net cooling due to iso-seq species
95	Be 3h                     0 		# heating due to iso-seq species
96	B  4c                     0 		# net cooling due to iso-seq species
97	B  4h                     0 		# heating due to iso-seq species
98	C  5c                     0 		# net cooling due to iso-seq species
99	C  5h                     0 		# heating due to iso-seq species
100	N  6c                     0 		# net cooling due to iso-seq species
101	N  6h                     0 		# heating due to iso-seq species
102	O  7c                     0 		# net cooling due to iso-seq species
103	O  7h                     0 		# heating due to iso-seq species
104	F  8c                     0 		# net cooling due to iso-seq species
105	F  8h                     0 		# heating due to iso-seq species
106	Ne 9c                     0 		# net cooling due to iso-seq species
107	Ne 9h                     0 		# heating due to iso-seq species
108	Na10c                     0 		# net cooling due to iso-seq species
109	Na10h                     0 		# heating due to iso-seq species
110	Mg11c                     0 		# net cooling due to iso-seq species
111	Mg11h                     0 		# heating due to iso-seq species
112	Al12c                     0 		# net cooling due to iso-seq species
113	Al12h                     0 		# heating due to iso-seq species
114	Si13c                     0 		# net cooling due to iso-seq species
115	Si13h                     0 		# heating due to iso-seq species
116	P 14c                     0 		# net cooling due to iso-seq species
117	P 14h                     0 		# heating due to iso-seq species
118	S 15c                     0 		# net cooling due to iso-seq species
119	S 15h                     0 		# heating due to iso-seq species
120	Cl16c                     0 		# net cooling due to iso-seq species
121	Cl16h                     0 		# heating due to iso-seq species
122	Ar17c                     0 		# net cooling due to iso-seq species
123	Ar17h                     0 		# heating due to iso-seq species
124	K 18c                     0 		# net cooling due to iso-seq species
125	K 18h                     0 		# heating due to iso-seq species
126	Ca19c                     0 		# net cooling due to iso-seq species
127	Ca19h                     0 		# heating due to iso-seq species
128	Sc20c                     0 		# net cooling due to iso-seq species
129	Sc20h                     0 		# heating due to iso-seq species
130	Ti21c                     0 		# net cooling due to iso-seq species
131	Ti21h                     0 		# heating due to iso-seq species
132	V 22c                     0 		# net cooling due to iso-seq species
133	V 22h                     0 		# heating due to iso-seq species
134	Cr23c                     0 		# net cooling due to iso-seq species
135	Cr23h                     0 		# heating due to iso-seq species
136	Mn24c                     0 		# net cooling due to iso-seq species
137	Mn24h                     0 		# heating due to iso-seq species
138	Fe25c                     0 		# net cooling due to iso-seq species
139	Fe25h                     0 		# heating due to iso-seq species
140	Co26c                     0 		# net cooling due to iso-seq species
141	Co26h                     0 		# heating due to iso-seq species
142	Ni27c                     0 		# net cooling due to iso-seq species
143	Ni27h                     0 		# heating due to iso-seq species
144	Cu28c                     0 		# net cooling due to iso-seq species
145	Cu28h                     0 		# heating due to iso-seq species
146	Zn29c                     0 		# net cooling due to iso-seq species
147	Zn29h                     0 		# heating due to iso-seq species
148	NOc                       0 		# net cooling due to database species
149	NOh                       0 		# heating due to database species
150	CNc                       0 		# net cooling due to database species
151	CNh                       0 		# heating due to database species
152	NH3c                      0 		# net cooling due to database species
153	NH3h                      0 		# heating due to database species
154	NH3c                      0 		# net cooling due to database species
155	NH3h                      0 		# heating due to database species
156	H3O+c                     0 		# net cooling due to database species
157	H3O+h                     0 		# heating due to database species
158	H3O+c                     0 		# net cooling due to database species
159	H3O+h                     0 		# heating due to database species
160	CH3OHc                    0 		# net cooling due to database species
161	CH3OHh                    0 		# heating due to database species
162	OHc                       0 		# net cooling due to database species
163	OHh                       0 		# heating due to database species
164	H2COc                     0 		# net cooling due to database species
165	H2COh                     0 		# heating due to database species
166	H2COc                     0 		# net cooling due to database species
167	H2COh                     0 		# heating due to database species
168	HNCc                      0 		# net cooling due to database species
169	HNCh                      0 		# heating due to database species
170	HCNc                      0 		# net cooling due to database species
171	HCNh                      0 		# heating due to database species
172	COc                       0 		# net cooling due to database species
173	COh                       0 		# heating due to database species
174	HC3Nc                     0 		# net cooling due to database species
175	HC3Nh                     0 		# heating due to database species
176	HCS+c                     0 		# net cooling due to database species
177	HCS+h                     0 		# heating due to database species
178	O2c                       0 		# net cooling due to database species
179	O2h                       0 		# heating due to database species
180	^13COc                    0 		# net cooling due to database species
181	^13COh                    0 		# heating due to database species
182	SiOc                      0 		# net cooling due to database species
183	SiOh                      0 		# heating due to database species
184	OCSc                      0 		# net cooling due to database species
185	OCSh                      0 		# heating due to database species
186	N2H+c                     0 		# net cooling due to database species
187	N2H+h                     0 		# heating due to database species
188	HClc                      0 		# net cooling due to database species
189	HClh                      0 		# heating due to database species
190	HCO+c                     0 		# net cooling due to database species
191	HCO+h                     0 		# heating due to database species
192	H2Oc                      0 		# net cooling due to database species
193	H2Oh                      0 		# heating due to database species
194	H2Oc                      0 		# net cooling due to database species
195	H2Oh                      0 		# heating due to database species
196	SO2c                      0 		# net cooling due to database species
197	SO2h                      0 		# heating due to database species
198	SOc                       0 		# net cooling due to database species
199	SOh                       0 		# heating due to database species
200	SiC2c                     0 		# net cooling due to database species
201	SiC2h                     0 		# heating due to database species
202	CSc                       0 		# net cooling due to database species
203	CSh                       0 		# heating due to database species
204	C2Hc                      0 		# net cooling due to database species
205	C2Hh                      0 		# heating due to database species
206	OH+c                      0 		# net cooling due to database species
207	OH+h                      0 		# heating due to database species
208	Al 1c                     0 		# net cooling due to database species
209	Al 1h                     0 		# heating due to database species
210	Al 3c                     0 		# net cooling due to database species
211	Al 3h                     0 		# heating due to database species
212	Al 4c                     0 		# net cooling due to database species
213	Al 4h                     0 		# heating due to database species
214	Al 6c                     0 		# net cooling due to database species
215	Al 6h                     0 		# heating due to database species
216	Ar 1c                     0 		# net cooling due to database species
217	Ar 1h                     0 		# heating due to database species
218	Ar 2c                     0 		# net cooling due to database species
219	Ar 2h                     0 		# heating due to database species
220	Ar 3c                     0 		# net cooling due to database species
221	Ar 3h                     0 		# heating due to database species
222	Ar 4c                     0 		# net cooling due to database species
223	Ar 4h                     0 		# heating due to database species
224	Ar 5c                     0 		# net cooling due to database species
225	Ar 5h                     0 		# heating due to database species
226	Ar 6c                     0 		# net cooling due to database species
227	Ar 6h                     0 		# heating due to database species
228	B  1c                     0 		# net cooling due to database species
229	B  1h                     0 		# heating due to database species
230	B  2c                     0 		# net cooling due to database species
231	B  2h                     0 		# heating due to database species
232	B  3c                     0 		# net cooling due to database species
233	B  3h                     0 		# heating due to database species
234	Be 1c                     0 		# net cooling due to database species
235	Be 1h                     0 		# heating due to database species
236	Be 2c                     0 		# net cooling due to database species
237	Be 2h                     0 		# heating due to database species
238	C  1c                     0 		# net cooling due to database species
239	C  1h                     0 		# heating due to database species
240	C  2c                     0 		# net cooling due to database species
241	C  2h                     0 		# heating due to database species
242	C  3c                     0 		# net cooling due to database species
243	C  3h                     0 		# heating due to database species
244	Ca 1c                     0 		# net cooling due to database species
245	Ca 1h                     0 		# heating due to database species
246	Ca 3c                     0 		# net cooling due to database species
247	Ca 3h                     0 		# heating due to database species
248	Ca 4c                     0 		# net cooling due to database species
249	Ca 4h                     0 		# heating due to database species
250	Ca 6c                     0 		# net cooling due to database species
251	Ca 6h                     0 		# heating due to database species
252	Cl 1c                     0 		# net cooling due to database species
253	Cl 1h                     0 		# heating due to database species
254	Cl 5c                     0 		# net cooling due to database species
255	Cl 5h                     0 		# heating due to database species
256	Cl 6c                     0 		# net cooling due to database species
257	Cl 6h                     0 		# heating due to database species
258	Cl 7c                     0 		# net cooling due to database species
259	Cl 7h                     0 		# heating due to database species
260	Cl 8c                     0 		# net cooling due to database species
261	Cl 8h                     0 		# heating due to database species
262	Cl 9c                     0 		# net cooling due to database species
263	Cl 9h                     0 		# heating due to database species
264	Co10c                     0 		# net cooling due to database species
265	Co10h                     0 		# heating due to database species
266	Co11c                     0 		# net cooling due to database species
267	Co11h                     0 		# heating due to database species
268	Co12c                     0 		# net cooling due to database species
269	Co12h                     0 		# heating due to database species
270	Co13c                     0 		# net cooling due to database species
271	Co13h                     0 		# heating due to database species
272	Co14c                     0 		# net cooling due to database species
273	Co14h                     0 		# heating due to database species
274	Co15c                     0 		# net cooling due to database species
275	Co15h                     0 		# heating due to database species
276	Co16c                     0 		# net cooling due to database species
277	Co16h                     0 		# heating due to database species
278	Co18c                     0 		# net cooling due to database species
279	Co18h                     0 		# heating due to database species
280	Co 2c                     0 		# net cooling due to database species
281	Co 2h                     0 		# heating due to database species
282	Co 3c                     0 		# net cooling due to database species
283	Co 3h                     0 		# heating due to database species
284	Co 8c                     0 		# net cooling due to database species
285	Co 8h                     0 		# heating due to database species
286	Cr10c                     0 		# net cooling due to database species
287	Cr10h                     0 		# heating due to database species
288	Cr11c                     0 		# net cooling due to database species
289	Cr11h                     0 		# heating due to database species
290	Cr12c                     0 		# net cooling due to database species
291	Cr12h                     0 		# heating due to database species
292	Cr15c                     0 		# net cooling due to database species
293	Cr15h                     0 		# heating due to database species
294	Cr 2c                     0 		# net cooling due to database species
295	Cr 2h                     0 		# heating due to database species
296	Cr 4c                     0 		# net cooling due to database species
297	Cr 4h                     0 		# heating due to database species
298	Cr 5c                     0 		# net cooling due to database species
299	Cr 5h                     0 		# heating due to database species
300	Cu 1c                     0 		# net cooling due to database species
301	Cu 1h                     0 		# heating due to database species
302	Cu13c                     0 		# net cooling due to database species
303	Cu13h                     0 		# heating due to database species
304	Cu14c                     0 		# net cooling due to database species
305	Cu14h                     0 		# heating due to database species
306	Cu15c                     0 		# net cooling due to database species
307	Cu15h                     0 		# heating due to database species
308	Cu16c                     0 		# net cooling due to database species
309	Cu16h                     0 		# heating due to database species
310	Cu17c                     0 		# net cooling due to database species
311	Cu17h                     0 		# heating due to database species
312	Cu18c                     0 		# net cooling due to database species
313	Cu18h                     0 		# heating due to database species
314	Cu21c                     0 		# net cooling due to database species
315	Cu21h                     0 		# heating due to database species
316	Cu22c                     0 		# net cooling due to database species
317	Cu22h                     0 		# heating due to database species
318	Cu23c                     0 		# net cooling due to database species
319	Cu23h                     0 		# heating due to database species
320	Cu24c                     0 		# net cooling due to database species
321	Cu24h                     0 		# heating due to database species
322	Cu25c                     0 		# net cooling due to database species
323	Cu25h                     0 		# heating due to database species
324	F  2c                     0 		# net cooling due to database species
325	F  2h                     0 		# heating due to database species
326	F  3c                     0 		# net cooling due to database species
327	F  3h                     0 		# heating due to database species
328	F  4c                     0 		# net cooling due to database species
329	F  4h                     0 		# heating due to database species
330	F  5c                     0 		# net cooling due to database species
331	F  5h                     0 		# heating due to database species
332	F  6c                     0 		# net cooling due to database species
333	F  6h                     0 		# heating due to database species
334	F  7c                     0 		# net cooling due to database species
335	F  7h                     0 		# heating due to database species
336	Fe 1c                     0 		# net cooling due to database species
337	Fe 1h                     0 		# heating due to database species
338	Fe 2c                     0 		# net cooling due to database species
339	Fe 2h                     0 		# heating due to database species
340	Fe 3c                     0 		# net cooling due to database species
341	Fe 3h                     0 		# heating due to database species
342	Fe 7c                     0 		# net cooling due to database species
343	Fe 7h                     0 		# heating due to database species
344	Fe 9c                     0 		# net cooling due to database species
345	Fe 9h                     0 		# heating due to database species
346	K  1c                     0 		# net cooling due to database species
347	K  1h                     0 		# heating due to database species
348	K 10c                     0 		# net cooling due to database species
349	K 10h                     0 		# heating due to database species
350	K  2c                     0 		# net cooling due to database species
351	K  2h                     0 		# heating due to database species
352	K  3c                     0 		# net cooling due to database species
353	K  3h                     0 		# heating due to database species
354	K  4c                     0 		# net cooling due to database species
355	K  4h                     0 		# heating due to database species
356	K  7c                     0 		# net cooling due to database species
357	K  7h                     0 		# heating due to database species
358	K  8c                     0 		# net cooling due to database species
359	K  8h                     0 		# heating due to database species
360	Li 1c                     0 		# net cooling due to database species
361	Li 1h                     0 		# heating due to database species
362	Mg 1c                     0 		# net cooling due to database species
363	Mg 1h                     0 		# heating due to database species
364	Mg 3c                     0 		# net cooling due to database species
365	Mg 3h                     0 		# heating due to database species
366	Mn 1c                     0 		# net cooling due to database species
367	Mn 1h                     0 		# heating due to database species
368	Mn11c                     0 		# net cooling due to database species
369	Mn11h                     0 		# heating due to database species
370	Mn12c                     0 		# net cooling due to database species
371	Mn12h                     0 		# heating due to database species
372	Mn13c                     0 		# net cooling due to database species
373	Mn13h                     0 		# heating due to database species
374	Mn14c                     0 		# net cooling due to database species
375	Mn14h                     0 		# heating due to database species
376	Mn16c                     0 		# net cooling due to database species
377	Mn16h                     0 		# heating due to database species
378	Mn 5c                     0 		# net cooling due to database species
379	Mn 5h                     0 		# heating due to database species
380	Mn 6c                     0 		# net cooling due to database species
381	Mn 6h                     0 		# heating due to database species
382	N  1c                     0 		# net cooling due to database species
383	N  1h                     0 		# heating due to database species
384	N  5c                     0 		# net cooling due to database species
385	N  5h                     0 		# heating due to database species
386	Na 1c                     0 		# net cooling due to database species
387	Na 1h                     0 		# heating due to database species
388	Na 2c                     0 		# net cooling due to database species
389	Na 2h                     0 		# heating due to database species
390	Ne 1c                     0 		# net cooling due to database species
391	Ne 1h                     0 		# heating due to database species
392	Ne 2c                     0 		# net cooling due to database species
393	Ne 2h                     0 		# heating due to database species
394	Ne 3c                     0 		# net cooling due to database species
395	Ne 3h                     0 		# heating due to database species
396	Ni 1c                     0 		# net cooling due to database species
397	Ni 1h                     0 		# heating due to database species
398	Ni11c                     0 		# net cooling due to database species
399	Ni11h                     0 		# heating due to database species
400	Ni15c                     0 		# net cooling due to database species
401	Ni15h                     0 		# heating due to database species
402	Ni 3c                     0 		# net cooling due to database species
403	Ni 3h                     0 		# heating due to database species
404	Ni 4c                     0 		# net cooling due to database species
405	Ni 4h                     0 		# heating due to database species
406	Ni 5c                     0 		# net cooling due to database species
407	Ni 5h                     0 		# heating due to database species
408	Ni 7c                     0 		# net cooling due to database species
409	Ni 7h                     0 		# heating due to database species
410	Ni 9c                     0 		# net cooling due to database species
411	Ni 9h                     0 		# heating due to database species
412	O  1c                     0 		# net cooling due to database species
413	O  1h                     0 		# heating due to database species
414	O  2c                     0 		# net cooling due to database species
415	O  2h                     0 		# heating due to database species
416	O  3c                     0 		# net cooling due to database species
417	O  3h                     0 		# heating due to database species
418	O  5c                     0 		# net cooling due to database species
419	O  5h                     0 		# heating due to database species
420	P  1c                     0 		# net cooling due to database species
421	P  1h                     0 		# heating due to database species
422	P  2c                     0 		# net cooling due to database species
423	P  2h                     0 		# heating due to database species
424	P  3c                     0 		# net cooling due to database species
425	P  3h                     0 		# heating due to database species
426	P  4c                     0 		# net cooling due to database species
427	P  4h                     0 		# heating due to database species
428	P  6c                     0 		# net cooling due to database species
429	P  6h                     0 		# heating due to database species
430	S  1c                     0 		# net cooling due to database species
431	S  1h                     0 		# heating due to database species
432	S  2c                     0 		# net cooling due to database species
433	S  2h                     0 		# heating due to database species
434	S  3c                     0 		# net cooling due to database species
435	S  3h                     0 		# heating due to database species
436	Sc 1c                     0 		# net cooling due to database species
437	Sc 1h                     0 		# heating due to database species
438	Sc10c                     0 		# net cooling due to database species
439	Sc10h                     0 		# heating due to database species
440	Sc11c                     0 		# net cooling due to database species
441	Sc11h                     0 		# heating due to database species
442	Sc12c                     0 		# net cooling due to database species
443	Sc12h                     0 		# heating due to database species
444	Sc13c                     0 		# net cooling due to database species
445	Sc13h                     0 		# heating due to database species
446	Sc14c                     0 		# net cooling due to database species
447	Sc14h                     0 		# heating due to database species
448	Sc15c                     0 		# net cooling due to database species
449	Sc15h                     0 		# heating due to database species
450	Sc16c                     0 		# net cooling due to database species
451	Sc16h                     0 		# heating due to database species
452	Sc17c                     0 		# net cooling due to database species
453	Sc17h                     0 		# heating due to database species
454	Sc18c                     0 		# net cooling due to database species
455	Sc18h                     0 		# heating due to database species
456	Sc 2c                     0 		# net cooling due to database species
457	Sc 2h                     0 		# heating due to database species
458	Sc 3c                     0 		# net cooling due to database species
459	Sc 3h                     0 		# heating due to database species
460	Sc 4c                     0 		# net cooling due to database species
461	Sc 4h                     0 		# heating due to database species
462	Sc 5c                     0 		# net cooling due to database species
463	Sc 5h                     0 		# heating due to database species
464	Sc 6c                     0 		# net cooling due to database species
465	Sc 6h                     0 		# heating due to database species
466	Sc 7c                     0 		# net cooling due to database species
467	Sc 7h                     0 		# heating due to database species
468	Sc 8c                     0 		# net cooling due to database species
469	Sc 8h                     0 		# heating due to database species
470	Sc 9c                     0 		# net cooling due to database species
471	Sc 9h                     0 		# heating due to database species
472	Si 1c                     0 		# net cooling due to database species
473	Si 1h                     0 		# heating due to database species
474	Si 2c                     0 		# net cooling due to database species
475	Si 2h                     0 		# heating due to database species
476	Si 3c                     0 		# net cooling due to database species
477	Si 3h                     0 		# heating due to database species
478	Si 4c                     0 		# net cooling due to database species
479	Si 4h                     0 		# heating due to database species
480	Si 7c                     0 		# net cooling due to database species
481	Si 7h                     0 		# heating due to database species
482	Si 9c                     0 		# net cooling due to database species
483	Si 9h                     0 		# heating due to database species
484	Ti10c                     0 		# net cooling due to database species
485	Ti10h                     0 		# heating due to database species
486	Ti13c                     0 		# net cooling due to database species
487	Ti13h                     0 		# heating due to database species
488	Ti 3c                     0 		# net cooling due to database species
489	Ti 3h                     0 		# heating due to database species
490	Ti 4c                     0 		# net cooling due to database species
491	Ti 4h                     0 		# heating due to database species
492	Ti 5c                     0 		# net cooling due to database species
493	Ti 5h                     0 		# heating due to database species
494	Ti 6c                     0 		# net cooling due to database species
495	Ti 6h                     0 		# heating due to database species
496	Ti 7c                     0 		# net cooling due to database species
497	Ti 7h                     0 		# heating due to database species
498	Ti 8c                     0 		# net cooling due to database species
499	Ti 8h                     0 		# heating due to database species
500	Ti 9c                     0 		# net cooling due to database species
501	Ti 9h                     0 		# heating due to database species
502	V 10c                     0 		# net cooling due to database species
503	V 10h                     0 		# heating due to database species
504	V 11c                     0 		# net cooling due to database species
505	V 11h                     0 		# heating due to database species
506	V 12c                     0 		# net cooling due to database species
507	V 12h                     0 		# heating due to database species
508	V 13c                     0 		# net cooling due to database species
509	V 13h                     0 		# heating due to database species
510	V 15c                     0 		# net cooling due to database species
511	V 15h                     0 		# heating due to database species
512	V 16c                     0 		# net cooling due to database species
513	V 16h                     0 		# heating due to database species
514	V 17c                     0 		# net cooling due to database species
515	V 17h                     0 		# heating due to database species
516	V 18c                     0 		# net cooling due to database species
517	V 18h                     0 		# heating due to database species
518	V 19c                     0 		# net cooling due to database species
519	V 19h                     0 		# heating due to database species
520	V 20c                     0 		# net cooling due to database species
521	V 20h                     0 		# heating due to database species
522	V 21c                     0 		# net cooling due to database species
523	V 21h                     0 		# heating due to database species
524	V  4c                     0 		# net cooling due to database species
525	V  4h                     0 		# heating due to database species
526	V  6c                     0 		# net cooling due to database species
527	V  6h                     0 		# heating due to database species
528	V  7c                     0 		# net cooling due to database species
529	V  7h                     0 		# heating due to database species
530	V  8c                     0 		# net cooling due to database species
531	V  8h                     0 		# heating due to database species
532	V  9c                     0 		# net cooling due to database species
533	V  9h                     0 		# heating due to database species
534	Zn19c                     0 		# net cooling due to database species
535	Zn19h                     0 		# heating due to database species
536	Zn 2c                     0 		# net cooling due to database species
537	Zn 2h                     0 		# heating due to database species
538	Zn 4c                     0 		# net cooling due to database species
539	Zn 4h                     0 		# heating due to database species
540	Al10c                     0 		# net cooling due to database species
541	Al10h                     0 		# heating due to database species
542	Al11c                     0 		# net cooling due to database species
543	Al11h                     0 		# heating due to database species
544	Al 2c                     0 		# net cooling due to database species
545	Al 2h                     0 		# heating due to database species
546	Al 5c                     0 		# net cooling due to database species
547	Al 5h                     0 		# heating due to database species
548	Al 7c                     0 		# net cooling due to database species
549	Al 7h                     0 		# heating due to database species
550	Al 8c                     0 		# net cooling due to database species
551	Al 8h                     0 		# heating due to database species
552	Al 9c                     0 		# net cooling due to database species
553	Al 9h                     0 		# heating due to database species
554	Ar10c                     0 		# net cooling due to database species
555	Ar10h                     0 		# heating due to database species
556	Ar11c                     0 		# net cooling due to database species
557	Ar11h                     0 		# heating due to database species
558	Ar12c                     0 		# net cooling due to database species
559	Ar12h                     0 		# heating due to database species
560	Ar13c                     0 		# net cooling due to database species
561	Ar13h                     0 		# heating due to database species
562	Ar14c                     0 		# net cooling due to database species
563	Ar14h                     0 		# heating due to database species
564	Ar15c                     0 		# net cooling due to database species
565	Ar15h                     0 		# heating due to database species
566	Ar16c                     0 		# net cooling due to database species
567	Ar16h                     0 		# heating due to database species
568	Ar 7c                     0 		# net cooling due to database species
569	Ar 7h                     0 		# heating due to database species
570	Ar 8c                     0 		# net cooling due to database species
571	Ar 8h                     0 		# heating due to database species
572	Ar 9c                     0 		# net cooling due to database species
573	Ar 9h                     0 		# heating due to database species
574	C  4c                     0 		# net cooling due to database species
575	C  4h                     0 		# heating due to database species
576	Ca10c                     0 		# net cooling due to database species
577	Ca10h                     0 		# heating due to database species
578	Ca11c                     0 		# net cooling due to database species
579	Ca11h                     0 		# heating due to database species
580	Ca12c                     0 		# net cooling due to database species
581	Ca12h                     0 		# heating due to database species
582	Ca13c                     0 		# net cooling due to database species
583	Ca13h                     0 		# heating due to database species
584	Ca14c                     0 		# net cooling due to database species
585	Ca14h                     0 		# heating due to database species
586	Ca15c                     0 		# net cooling due to database species
587	Ca15h                     0 		# heating due to database species
588	Ca16c                     0 		# net cooling due to database species
589	Ca16h                     0 		# heating due to database species
590	Ca17c                     0 		# net cooling due to database species
591	Ca17h                     0 		# heating due to database species
592	Ca18c                     0 		# net cooling due to database species
593	Ca18h                     0 		# heating due to database species
594	Ca 2c                     0 		# net cooling due to database species
595	Ca 2h                     0 		# heating due to database species
596	Ca 5c                     0 		# net cooling due to database species
597	Ca 5h                     0 		# heating due to database species
598	Ca 7c                     0 		# net cooling due to database species
599	Ca 7h                     0 		# heating due to database species
600	Ca 8c                     0 		# net cooling due to database species
601	Ca 8h                     0 		# heating due to database species
602	Ca 9c                     0 		# net cooling due to database species
603	Ca 9h                     0 		# heating due to database species
604	Cl 2c                     0 		# net cooling due to database species
605	Cl 2h                     0 		# heating due to database species
606	Cl 3c                     0 		# net cooling due to database species
607	Cl 3h                     0 		# heating due to database species
608	Cl 4c                     0 		# net cooling due to database species
609	Cl 4h                     0 		# heating due to database species
610	Cl10c                     0 		# net cooling due to database species
611	Cl10h                     0 		# heating due to database species
612	Cl11c                     0 		# net cooling due to database species
613	Cl11h                     0 		# heating due to database species
614	Cl12c                     0 		# net cooling due to database species
615	Cl12h                     0 		# heating due to database species
616	Cl14c                     0 		# net cooling due to database species
617	Cl14h                     0 		# heating due to database species
618	Co17c                     0 		# net cooling due to database species
619	Co17h                     0 		# heating due to database species
620	Co19c                     0 		# net cooling due to database species
621	Co19h                     0 		# heating due to database species
622	Co20c                     0 		# net cooling due to database species
623	Co20h                     0 		# heating due to database species
624	Co21c                     0 		# net cooling due to database species
625	Co21h                     0 		# heating due to database species
626	Co22c                     0 		# net cooling due to database species
627	Co22h                     0 		# heating due to database species
628	Co23c                     0 		# net cooling due to database species
629	Co23h                     0 		# heating due to database species
630	Co24c                     0 		# net cooling due to database species
631	Co24h                     0 		# heating due to database species
632	Co25c                     0 		# net cooling due to database species
633	Co25h                     0 		# heating due to database species
634	Cr13c                     0 		# net cooling due to database species
635	Cr13h                     0 		# heating due to database species
636	Cr14c                     0 		# net cooling due to database species
637	Cr14h                     0 		# heating due to database species
638	Cr16c                     0 		# net cooling due to database species
639	Cr16h                     0 		# heating due to database species
640	Cr17c                     0 		# net cooling due to database species
641	Cr17h                     0 		# heating due to database species
642	Cr18c                     0 		# net cooling due to database species
